
Virus Strain Name,Accession ID,Data Source,Related ID,Nuc.Completeness,Sequence Length,Sequence Quality,Quality Assessment,Host,Sample Collection Date,Location,Originating Lab,Submission Date,Submitting Lab
hCoV-19/China/Shanghai/SH0038,EPI_ISL_416347,GISAID,,Complete,29836,Low,396/0/NA/NA/NA,Homo sapiens,2020-02-06,China / Shanghai,"Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University",2020-03-20,"National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center"
hCoV-19/China/Shanghai/SH0039,EPI_ISL_416348,GISAID,,Complete,29831,Low,202/0/NA/NA/NA,Homo sapiens,2020-02-06,China / Shanghai,"Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University",2020-03-20,"National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center"
hCoV-19/China/Shanghai/SH0040,EPI_ISL_416349,GISAID,,Complete,29812,Low,159/0/NA/NA/NA,Homo sapiens,2020-01-30,China / Shanghai,"Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University",2020-03-20,"National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center"
hCoV-19/China/Shanghai/SH0041,EPI_ISL_416350,GISAID,,Complete,29835,Low,46/0/NA/NA/NA,Homo sapiens,2020-01-29,China / Shanghai,"Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University",2020-03-20,"National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center"
hCoV-19/China/Shanghai/SH0042,EPI_ISL_416351,GISAID,,Complete,29818,Low,381/0/NA/NA/NA,Homo sapiens,2020-02-06,China / Shanghai,"Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University",2020-03-20,"National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center"
hCoV-19/China/Shanghai/SH0043,EPI_ISL_416352,GISAID,,Complete,29836,High,0/0/0/2/NO,Homo sapiens,2020-01-30,China / Shanghai,"Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University",2020-03-20,"National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center"
hCoV-19/China/Shanghai/SH0044,EPI_ISL_416353,GISAID,,Complete,29836,High,0/0/0/1/NO,Homo sapiens,2020-02-04,China / Shanghai,"Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University",2020-03-20,"National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center"
hCoV-19/China/Shanghai/SH0045,EPI_ISL_416354,GISAID,,Complete,29834,Low,207/0/NA/NA/NA,Homo sapiens,2020-02-04,China / Shanghai,"Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University",2020-03-20,"National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center"
hCoV-19/China/Shanghai/SH0047,EPI_ISL_416355,GISAID,,Complete,29812,High,6/0/0/6/NO,Homo sapiens,2020-02-04,China / Shanghai,"Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University",2020-03-20,"National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center"
hCoV-19/China/Shanghai/SH0048,EPI_ISL_416356,GISAID,,Complete,29663,Low,2436/0/NA/NA/NA,Homo sapiens,2020-02-01,China / Shanghai,"Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University",2020-03-20,"National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center"
hCoV-19/China/Shanghai/SH0049,EPI_ISL_416357,GISAID,,Complete,29835,Low,395/0/NA/NA/NA,Homo sapiens,2020-02-01,China / Shanghai,"Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University",2020-03-20,"National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center"
hCoV-19/China/Shanghai/SH0050,EPI_ISL_416358,GISAID,,Complete,29812,Low,198/0/NA/NA/NA,Homo sapiens,2020-02-05,China / Shanghai,"Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University",2020-03-20,"National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center"
hCoV-19/China/Shanghai/SH0051,EPI_ISL_416359,GISAID,,Complete,29812,Low,202/0/NA/NA/NA,Homo sapiens,2020-02-06,China / Shanghai,"Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University",2020-03-20,"National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center"
hCoV-19/China/Shanghai/SH0052,EPI_ISL_416360,GISAID,,Partial,29546,Low,408/0/NA/NA/NA,Homo sapiens,2020-02-01,China / Shanghai,"Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University",2020-03-20,"National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center"
hCoV-19/China/Shanghai/SH0053,EPI_ISL_416361,GISAID,,Complete,29835,High,0/0/0/3/NO,Homo sapiens,2020-02-01,China / Shanghai,"Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University",2020-03-20,"National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center"
hCoV-19/China/Shanghai/SH0054,EPI_ISL_416362,GISAID,,Complete,29836,High,0/0/0/1/NO,Homo sapiens,2020-02-02,China / Shanghai,"Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University",2020-03-20,"National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center"
hCoV-19/China/Shanghai/SH0055,EPI_ISL_416363,GISAID,,Complete,29835,High,0/0/0/2/NO,Homo sapiens,2020-02-08,China / Shanghai,"Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University",2020-03-20,"National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center"
hCoV-19/China/Shanghai/SH0056,EPI_ISL_416364,GISAID,,Complete,29833,Low,201/0/NA/NA/NA,Homo sapiens,2020-02-08,China / Shanghai,"Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University",2020-03-20,"National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center"
hCoV-19/China/Shanghai/SH0058,EPI_ISL_416365,GISAID,,Complete,29836,High,3/0/0/6/NO,Homo sapiens,2020-01-30,China / Shanghai,"Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University",2020-03-20,"National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center"
hCoV-19/China/Shanghai/SH0059,EPI_ISL_416366,GISAID,,Complete,29812,High,3/0/0/6/NO,Homo sapiens,2020-01-30,China / Shanghai,"Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University",2020-03-20,"National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center"
hCoV-19/China/Shanghai/SH0060,EPI_ISL_416367,GISAID,,Complete,29812,High,0/0/0/4/NO,Homo sapiens,2020-02-01,China / Shanghai,"Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University",2020-03-20,"National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center"
hCoV-19/China/Shanghai/SH0065,EPI_ISL_416368,GISAID,,Complete,29836,Low,204/0/NA/NA/NA,Homo sapiens,2020-02-05,China / Shanghai,"Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University",2020-03-20,"National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center"
hCoV-19/Denmark/SSI-102/2020,EPI_ISL_415647,GISAID,,Complete,29958,Low,101/1/NA/NA/NA,Homo sapiens,2020-03-03,Denmark / Copenhagen,"Department of Virus and Microbiological Special diagnostics, Statens Serum Institut, Copenhagen, Denmark.",2020-03-18,Statens Serum Institute
hCoV-19/Taiwan/CGMH-CGU-04/2020,EPI_ISL_415742,GISAID,,Partial,29882,Low,72/0/NA/NA/NA,Homo sapiens,2020-02-27,China / Taiwan / Taoyuan,Laboratory Medicine,2020-03-19,"Department of Laboratory Medicine, Lin-Kou Chang Gung Memorial Hospital, Taoyuan, Taiwan"
hCoV-19/Taiwan/CGMH-CGU-05/2020,EPI_ISL_415743,GISAID,,Complete,29903,High,0/0/0/7/NO,Homo sapiens,2020-02-27,China / Taiwan / Taoyuan,Laboratory Medicine,2020-03-19,"Department of Laboratory Medicine, Lin-Kou Chang Gung Memorial Hospital, Taoyuan, Taiwan"
hCoV-19/Wales/PHW25/2020,EPI_ISL_415916,GISAID,,Complete,29782,Low,858/0/NA/NA/NA,Homo sapiens,2020-03-11,United Kingdom / Wales,Wales Specialist Virology Centre,2020-03-19,Public Health Wales Microbiology Cardiff
hCoV-19/Wales/PHW26/2020,EPI_ISL_415918,GISAID,,Complete,29782,Low,740/0/NA/NA/NA,Homo sapiens,2020-03-11,United Kingdom / Wales,Wales Specialist Virology Centre,2020-03-19,Public Health Wales Microbiology Cardiff
hCoV-19/Wales/PHW29/2020,EPI_ISL_415919,GISAID,,Partial,29611,Low,1431/0/NA/NA/NA,Homo sapiens,2020-03-11,United Kingdom / Wales,Wales Specialist Virology Centre,2020-03-19,Public Health Wales Microbiology Cardiff
hCoV-19/Wales/PHW32/2020,EPI_ISL_415920,GISAID,,Complete,29782,High,0/0/0/4/NO,Homo sapiens,2020-03-12,United Kingdom / Wales,Wales Specialist Virology Centre,2020-03-19,Public Health Wales Microbiology Cardiff
hCoV-19/Wales/PHW07/2020,EPI_ISL_415977,GISAID,,Complete,29782,Low,557/0/NA/NA/NA,Homo sapiens,2020-03-08,United Kingdom / Wales,Wales Specialist Virology Centre,2020-03-19,Public Health Wales Microbiology Cardiff
hCoV-19/Wales/PHW18/2020,EPI_ISL_415991,GISAID,,Complete,29782,Low,852/0/NA/NA/NA,Homo sapiens,2020-03-09,United Kingdom / Wales,Wales Specialist Virology Centre,2020-03-19,Public Health Wales Microbiology Cardiff
hCoV-19/Wales/PHW35/2020,EPI_ISL_416024,GISAID,,Complete,29782,High,0/0/0/4/NO,Homo sapiens,2020-03-11,United Kingdom / Wales,Wales Specialist Virology Centre,2020-03-19,Public Health Wales Microbiology Cardiff
hCoV-19/Hangzhou/ZJU-02/2020,EPI_ISL_416042,GISAID,,Complete,29941,High,0/0/1/6/YES,Homo sapiens,2020-01-26,China / Hangzhou,"State Key Laboratory for Diagnosis and Treatment of Infectious Diseases, National Clinical Research Center for Infectious Diseases, First Affiliated Hospital, Zhejiang University School of Medicine, Hangzhou, China. 310003",2020-03-20,"State Key Laboratory for Diagnosis and Treatment of Infectious Diseases, National Clinical Research Center for Infectious Diseases, First Affiliated Hospital, Zhejiang University School of Medicine, Hangzhou, China. 310003"
hCoV-19/Hangzhou/ZJU-03/2020,EPI_ISL_416044,GISAID,,Complete,29986,High,0/0/1/7/YES,Homo sapiens,2020-01-25,China / Hangzhou,"State Key Laboratory for Diagnosis and Treatment of Infectious Diseases, National Clinical Research Center for Infectious Diseases, First Affiliated Hospital, Zhejiang University School of Medicine, Hangzhou, China 310003",2020-03-20,"State Key Laboratory for Diagnosis and Treatment of Infectious Diseases, National Clinical Research Center for Infectious Diseases, First Affiliated Hospital, Zhejiang University School of Medicine, Hangzhou, China 310003"
hCoV-19/Hangzhou/ZJU-04/2020,EPI_ISL_416046,GISAID,,Complete,29968,High,0/0/1/5/YES,Homo sapiens,2020-01-24,China / Hangzhou,"State Key Laboratory for Diagnosis and Treatment of Infectious Diseases, National Clinical Research Center for Infectious Diseases, First Affiliated Hospital, Zhejiang University School of Medicine, Hangzhou, China 310003",2020-03-20,"State Key Laboratory for Diagnosis and Treatment of Infectious Diseases, National Clinical Research Center for Infectious Diseases, First Affiliated Hospital, Zhejiang University School of Medicine, Hangzhou, China 310003"
hCoV-19/Hangzhou/ZJU-06/2020,EPI_ISL_416047,GISAID,,Complete,29966,High,0/0/1/10/YES,Homo sapiens,2020-02-02,China / Hangzhou,"State Key Laboratory for Diagnosis and Treatment of Infectious Diseases, National Clinical Research Center for Infectious Diseases, First Affiliated Hospital, Zhejiang University School of Medicine, Hangzhou, China 310003",2020-03-20,"State Key Laboratory for Diagnosis and Treatment of Infectious Diseases, National Clinical Research Center for Infectious Diseases, First Affiliated Hospital, Zhejiang University School of Medicine, Hangzhou, China 310003"
hCoV-19/Denmark/SSI-05/2020,EPI_ISL_416140,GISAID,,Complete,29832,High,0/0/0/11/YES,Homo sapiens,2020-03-02,Denmark / Copenhagen,"Department of Virus and Microbiological Special diagnostics, Statens Serum Institut, Copenhagen, Denmark.",2020-03-20,Statens Serum Institute
hCoV-19/Denmark/SSI-09/2020,EPI_ISL_416141,GISAID,,Complete,29835,High,0/0/1/5/NO,Homo sapiens,2020-03-03,Denmark / Copenhagen,"Department of Virus and Microbiological Special diagnostics, Statens Serum Institut, Copenhagen, Denmark.",2020-03-20,Statens Serum Institute
hCoV-19/China/Shanghai/SH0002,EPI_ISL_416316,GISAID,,Complete,29836,High,0/0/0/4/NO,Homo sapiens,2020-01-25,China / Shanghai,"Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University",2020-03-20,"National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center"
hCoV-19/China/Shanghai/SH0003,EPI_ISL_416317,GISAID,,Complete,29836,High,0/0/0/5/NO,Homo sapiens,2020-01-25,China / Shanghai,"Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University",2020-03-20,"National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center"
hCoV-19/China/Shanghai/SH0004,EPI_ISL_416318,GISAID,,Complete,29812,High,0/0/0/4/NO,Homo sapiens,2020-01-28,China / Shanghai,"Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University",2020-03-20,"National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center"
hCoV-19/China/Shanghai/SH0005,EPI_ISL_416319,GISAID,,Complete,29812,High,3/0/0/3/NO,Homo sapiens,2020-01-28,China / Shanghai,"Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University",2020-03-20,"National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center"
hCoV-19/China/Shanghai/SH0007,EPI_ISL_416320,GISAID,,Complete,29835,High,0/0/0/3/NO,Homo sapiens,2020-01-28,China / Shanghai,"Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University",2020-03-20,"National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center"
